PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
203439,Residential,4060507000,7144 W ST PAUL AV,,10,2720,Dplx Bungalow,Brick,1.5,1930,11,1984,2,4,2,NULL,5982,4/30/2019,198000
203483,Residential,4060552000,7301 W BLUE MOUND RD,,10,2720,Residence O/S,Aluminum/Vinyl,2,1929,6,1656,1,3,1,1,6512,8/7/2019,250000
203509,Residential,4060580000,307 N 74TH ST,,10,2720,Colonial,Aluminum/Vinyl,2,1941,7,1641,1,3,1,1,7708,5/24/2019,159000
203526,Residential,4060597000,203 N 72ND ST,,10,2720,Milwaukee Bungalow,Aluminum/Vinyl,1,1926,7,1234,1,3,1,NULL,5160,1/18/2019,104400
203527,Residential,4060598000,175 N 72ND ST,,10,2720,Cape Cod,Brick,1.5,1946,6,1402,1,4,2,NULL,5160,3/22/2019,177000
203590,Residential,4060708000,149 N 73RD ST,,10,2720,Dplx Bungalow,Brick,1.5,1931,10,2008,2,3,2,NULL,6864,11/3/2019,185000
203599,Residential,4060718000,205 N 74TH ST,,10,2720,Residence O/S,Aluminum/Vinyl,1.5,1918,7,1752,1,4,2,NULL,7200,10/16/2019,220000
203605,Residential,4060724000,155 N 74TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1.5,1941,6,1091,1,3,1,1,3600,2/19/2019,136000
203617,Residential,4060736000,174 N 75TH ST,,10,2720,Cape Cod,Brick,1,1952,8,1254,1,3,2,NULL,4800,6/4/2019,176000
203647,Residential,4060833000,302 N 70TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1,1940,5,1025,1,2,1,NULL,4800,2/11/2019,146000
203650,Residential,4060847000,223 N 69TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1,1946,5,1209,1,3,1,NULL,4800,2/8/2019,141500
203661,Residential,4060858000,149 N 69TH ST,,10,2720,Dplx Bungalow,Aluminum/Vinyl,1.5,1922,9,2022,2,3,2,NULL,4800,2/27/2019,175565
203668,Residential,4060865000,160 N 70TH ST,,10,2720,Residence O/S,Aluminum/Vinyl,1,1923,6,1359,1,3,2,NULL,4800,8/13/2019,157500
203689,Residential,4060887000,126 N 69TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1,1952,4,1134,1,2,1,1,5734,12/10/2019,146000
203707,Residential,4060918000,118 N 70TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1,1948,4,824,1,1,1,NULL,3200,8/22/2019,100000
203721,Lg Apartment,4060937110,308-328 S 70TH ST,,10,6882,AP3 (Conventional Apt with 12-20 Units),Masonary Frame,2,1966,0,15354,16,2,NULL,NULL,38141,11/7/2019,855000
203721,Lg Apartment,4060937110,308-328 S 70TH ST,,10,6882,AP3 (Conventional Apt with 12-20 Units),Masonary Frame,2,1966,0,15354,16,3,NULL,NULL,38141,11/7/2019,855000
203736,Residential,4060966000,316 S 69TH ST,,10,2710,Residence O/S,Aluminum/Vinyl,1,1923,6,920,1,3,1,NULL,5520,2/27/2019,110500
203741,Residential,4060971000,234 S 69TH ST,,10,2710,Milwaukee Bungalow,Aluminum/Vinyl,1,1921,6,1224,1,3,1,1,8280,10/28/2019,170000
203754,Residential,4060989000,459 S 68TH ST,,10,2710,Multiple Residential Bldgs,Aluminum/Vinyl,1,1920,6,1534,1,3,1,NULL,5520,7/26/2019,133000
203758,Residential,4060993000,515 S 68TH ST,,10,2710,Cape Cod,Aluminum/Vinyl,1,1949,5,1063,1,3,1,NULL,5520,3/15/2019,125000
203761,Residential,4060996000,531 S 68TH ST,,10,2710,Cape Cod,Aluminum/Vinyl,1.5,1924,6,1514,1,3,2,NULL,5520,1/11/2019,150000
203764,Residential,4060999000,532-534 S 69TH ST,,10,2710,Cape Cod,Asphalt/Other,1,1951,4,755,1,2,1,NULL,5520,5/8/2019,105000
203833,Lg Apartment,4061070000,653 S 69TH ST,,10,6800,AP1 (Conventional Apt with 4-6 Units),Fiber Cement/Hardiplank,2,1913,0,3041,4,3,NULL,NULL,8880,8/16/2019,250000
203833,Lg Apartment,4061070000,653 S 69TH ST,,10,6800,AP1 (Conventional Apt with 4-6 Units),Fiber Cement/Hardiplank,2,1913,0,3041,4,2,NULL,NULL,8880,8/16/2019,250000
203833,Lg Apartment,4061070000,653 S 69TH ST,,10,6800,AP1 (Conventional Apt with 4-6 Units),Fiber Cement/Hardiplank,2,1913,0,3041,4,3,NULL,NULL,8880,1/18/2019,62100
203833,Lg Apartment,4061070000,653 S 69TH ST,,10,6800,AP1 (Conventional Apt with 4-6 Units),Fiber Cement/Hardiplank,2,1913,0,3041,4,2,NULL,NULL,8880,1/18/2019,62100
203835,Residential,4061082000,6805 W MAIN ST,,10,2710,Residence O/S,Aluminum/Vinyl,1.5,1923,8,1814,1,5,1,NULL,5520,6/13/2019,135600
203853,Residential,4061100000,612 S 69TH ST,,10,2710,Milwaukee Bungalow,Aluminum/Vinyl,1,1928,7,1126,1,5,2,NULL,5520,9/6/2019,139900
203876,Residential,4061247000,148 N 71ST ST,,10,2720,Duplex O/S,Aluminum/Vinyl,1,1925,7,1008,2,2,1,NULL,4600,6/24/2019,85000
203896,Residential,4061272100,144 S 71ST ST,,10,2720,Cape Cod,Brick,1.5,1954,6,1512,1,4,2,NULL,4240,8/6/2019,207500
203897,Residential,4061273000,138 S 71ST ST,,10,2720,Cape Cod,Aluminum/Vinyl,1.5,1951,5,1473,1,3,1,1,4600,2/15/2019,154500
203919,Residential,4061325000,7102 W ADLER ST,,10,2710,Dplx Bungalow,Aluminum/Vinyl,1.5,1927,8,1399,2,4,2,NULL,5400,7/15/2019,163000
203923,Residential,4061329000,125 N 71ST ST,,10,2720,Cape Cod,Aluminum/Vinyl,1,1948,6,1284,1,3,1,NULL,4324,5/20/2019,155000
203951,Residential,4061357000,139--A N 71ST ST,,10,2720,Dplx Bungalow,Aluminum/Vinyl,1.5,1927,8,1452,2,4,2,NULL,3680,6/21/2019,166100
